epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,311.043,0.8622,0.78565,0.93947,0.63461,0.49921,0.60773,0.35551,1.70421,1.56434,1.40161,0.000618875,0.000618875,0.000618875
155,313.096,0.9603,0.79647,0.88757,0.63461,0.49921,0.60773,0.35551,1.70421,1.56434,1.40161,0.00061475,0.00061475,0.00061475
156,315.178,0.89536,0.76963,0.90019,0.59177,0.51204,0.60028,0.35405,1.72013,1.55662,1.39454,0.000610625,0.000610625,0.000610625
157,317.146,0.8718,0.7707,0.88266,0.59177,0.51204,0.60028,0.35405,1.72013,1.55662,1.39454,0.0006065,0.0006065,0.0006065
158,319.045,0.82724,0.80374,0.89348,0.59177,0.51204,0.60028,0.35405,1.72013,1.55662,1.39454,0.000602375,0.000602375,0.000602375
159,321.024,0.86937,0.71675,0.92303,0.59177,0.51204,0.60028,0.35405,1.72013,1.55662,1.39454,0.00059825,0.00059825,0.00059825
160,323.089,0.91454,0.76829,0.91659,0.70868,0.49374,0.63749,0.34702,1.74103,1.514,1.38955,0.000594125,0.000594125,0.000594125
161,325.046,0.92131,0.7973,0.90614,0.70868,0.49374,0.63749,0.34702,1.74103,1.514,1.38955,0.00059,0.00059,0.00059
162,327.012,0.87169,0.75067,0.92192,0.70868,0.49374,0.63749,0.34702,1.74103,1.514,1.38955,0.000585875,0.000585875,0.000585875
163,329.028,0.97972,0.83855,0.92809,0.70868,0.49374,0.63749,0.34702,1.74103,1.514,1.38955,0.00058175,0.00058175,0.00058175
164,330.99,0.97873,0.79171,0.87744,0.61125,0.56113,0.64089,0.34985,1.7152,1.48569,1.38818,0.000577625,0.000577625,0.000577625
165,332.893,0.78305,0.69593,0.88888,0.61125,0.56113,0.64089,0.34985,1.7152,1.48569,1.38818,0.0005735,0.0005735,0.0005735
166,334.812,0.87433,0.75019,0.93005,0.61125,0.56113,0.64089,0.34985,1.7152,1.48569,1.38818,0.000569375,0.000569375,0.000569375
167,336.912,0.92504,0.76741,0.91492,0.61125,0.56113,0.64089,0.34985,1.7152,1.48569,1.38818,0.00056525,0.00056525,0.00056525
168,338.831,0.87125,0.8693,0.95829,0.6009,0.56667,0.64234,0.35384,1.74553,1.47733,1.41582,0.000561125,0.000561125,0.000561125
169,340.828,0.9509,0.77072,0.90639,0.6009,0.56667,0.64234,0.35384,1.74553,1.47733,1.41582,0.000557,0.000557,0.000557
170,342.879,0.94189,0.77177,0.91034,0.6009,0.56667,0.64234,0.35384,1.74553,1.47733,1.41582,0.000552875,0.000552875,0.000552875
171,344.944,0.90054,0.78145,0.90468,0.6009,0.56667,0.64234,0.35384,1.74553,1.47733,1.41582,0.00054875,0.00054875,0.00054875
172,346.929,0.96847,0.80625,0.92538,0.624,0.58018,0.64672,0.35116,1.76927,1.50866,1.42986,0.000544625,0.000544625,0.000544625
173,348.894,0.76938,0.70888,0.86772,0.624,0.58018,0.64672,0.35116,1.76927,1.50866,1.42986,0.0005405,0.0005405,0.0005405
174,350.898,0.77804,0.67684,0.89715,0.624,0.58018,0.64672,0.35116,1.76927,1.50866,1.42986,0.000536375,0.000536375,0.000536375
175,352.863,0.82958,0.7867,0.92665,0.624,0.58018,0.64672,0.35116,1.76927,1.50866,1.42986,0.00053225,0.00053225,0.00053225
176,354.894,0.92015,0.75645,0.89706,0.61923,0.59288,0.64323,0.35339,1.7274,1.49543,1.42761,0.000528125,0.000528125,0.000528125
177,356.848,0.78939,0.72693,0.88193,0.61923,0.59288,0.64323,0.35339,1.7274,1.49543,1.42761,0.000524,0.000524,0.000524
178,358.945,0.85219,0.71633,0.91436,0.61923,0.59288,0.64323,0.35339,1.7274,1.49543,1.42761,0.000519875,0.000519875,0.000519875
179,360.913,0.8741,0.68438,0.89123,0.61923,0.59288,0.64323,0.35339,1.7274,1.49543,1.42761,0.00051575,0.00051575,0.00051575
180,362.908,0.74976,0.70294,0.88771,0.6297,0.59995,0.65117,0.36723,1.68453,1.47614,1.37965,0.000511625,0.000511625,0.000511625
